Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	209430	0.127315	0.269990
chr22	209527	0.123711	0.270002
chr22	210306	0.116816	0.270093
chr22	210453	0.115646	0.270110
chr22	212756	0.099001	0.270338
chr22	213151	0.098734	0.270377
chr22	213592	0.097506	0.270420
chr22	213606	0.142857	0.270422
chr22	213827	0.095023	0.270443
chr22	214951	0.097865	0.270553
chr22	214959	0.125000	0.270554
chr22	214991	0.093750	0.270557
chr22	215299	0.097403	0.270587
chr22	215345	0.086957	0.270591
chr22	216958	0.096094	0.270746
chr22	217379	0.078385	0.270779
chr22	217485	0.066038	0.270786
chr22	217866	0.057743	0.270808
chr22	218242	0.053191	0.270828
chr22	218285	0.069767	0.270831
chr22	218366	0.061728	0.270836
chr22	218695	0.100304	0.270869
chr22	218753	0.275862	0.270885
chr22	220071	0.368741	0.271371
chr22	220341	0.188889	0.271422
chr22	220658	0.091483	0.271451
chr22	221102	0.033784	0.271466
chr22	221131	0.034483	0.271467
chr22	222167	0.028958	0.271497
chr22	223185	0.029470	0.271527
chr22	223189	0.000000	0.271527
chr22	224184	0.027136	0.271554
chr22	225051	0.027682	0.271578
chr22	225608	0.026930	0.271593
chr22	225964	0.028090	0.271603
chr22	225985	0.047619	0.271604
chr22	226485	0.044000	0.271626
chr22	229710	0.211783	0.272309
chr22	229853	0.209790	0.272339
chr22	229887	0.117647	0.272343
chr22	229888	0.000000	0.272343
chr22	230739	0.066980	0.272400
chr22	232337	0.065707	0.272505
chr22	234473	0.048221	0.272608
chr22	235928	0.048110	0.272678
chr22	237663	0.047839	0.272761
chr22	237838	0.045714	0.272769
chr22	239289	0.048243	0.272839
chr22	241347	0.048105	0.272938
chr22	242494	0.047951	0.272993
chr22	244125	0.048437	0.273072
chr22	247834	0.047991	0.273250
chr22	248254	0.047619	0.273270
chr22	248279	0.040000	0.273271
chr22	249939	0.048193	0.273351
chr22	250047	0.046296	0.273356
chr22	250058	0.090909	0.273357
chr22	250539	0.047817	0.273380
chr22	250589	0.060000	0.273383
chr22	252038	0.048999	0.273454
chr22	252559	0.053743	0.273482
chr22	252795	0.055085	0.273495
chr22	255552	0.054770	0.273646
chr22	258284	0.047950	0.273777
chr22	260403	0.048136	0.273879
chr22	260504	0.049505	0.273884
chr22	261903	0.047177	0.273950
chr22	263718	0.048485	0.274038
chr22	264012	0.051020	0.274053
chr22	264431	0.047733	0.274073
chr22	264954	0.049713	0.274099
chr22	266848	0.049102	0.274192
chr22	267262	0.130435	0.274246
chr22	268917	0.604834	0.275247
chr22	268992	0.320000	0.275271
chr22	269728	0.244565	0.275451
chr22	269736	0.250000	0.275453
chr22	269980	0.241803	0.275512
chr22	271335	0.241328	0.275839
chr22	272535	0.242500	0.276130
chr22	273216	0.543319	0.276500
chr22	274753	0.718282	0.277604
chr22	276848	0.734606	0.279143
chr22	277076	0.513158	0.279260
chr22	277265	0.423280	0.279340
chr22	277763	0.365462	0.279522
chr22	278796	0.296225	0.279828
chr22	279300	0.293651	0.279976
chr22	280039	0.290934	0.280191
chr22	280235	0.290816	0.280248
chr22	280443	0.288462	0.280308
chr22	280798	0.292958	0.280412
chr22	281423	0.296000	0.280597
chr22	282249	0.307506	0.280851
chr22	282978	1.231824	0.281749
chr22	283309	0.851964	0.282031
chr22	284947	0.484737	0.282825
chr22	285953	0.483101	0.283311
chr22	286176	0.497758	0.283422
chr22	286372	0.551020	0.283530
chr22	286475	0.970874	0.283630
chr22	286679	1.627451	0.283962
chr22	286971	1.674658	0.284451
chr22	287080	1.688073	0.284635
chr22	287252	1.686047	0.284925
chr22	287648	1.681818	0.285591
chr22	287705	1.684211	0.285687
chr22	288689	1.680894	0.287341
chr22	289153	1.674569	0.288118
chr22	289209	1.642857	0.288210
chr22	289210	2.000000	0.288212
chr22	293384	1.639195	0.295054
chr22	293519	4.837037	0.295707
chr22	294021	5.476096	0.298456
chr22	294495	6.373418	0.301477
chr22	294745	6.316000	0.303056
chr22	295046	6.282392	0.304947
chr22	295191	6.282759	0.305858
chr22	295246	6.200000	0.306199
chr22	296341	6.030137	0.312802
chr22	297712	0.961342	0.314120
chr22	297805	0.838710	0.314198
chr22	298553	0.592246	0.314641
chr22	298620	0.492537	0.314674
chr22	298672	0.403846	0.314695
chr22	302224	0.382601	0.316054
chr22	303389	0.376824	0.316493
chr22	303811	0.374408	0.316651
chr22	304139	0.375000	0.316774
chr22	304180	0.390244	0.316790
chr22	304557	0.374005	0.316931
chr22	306450	0.375594	0.317642
chr22	307022	0.384615	0.317862
chr22	307648	0.408946	0.318118
chr22	307769	0.454545	0.318173
chr22	312577	0.457571	0.320373
chr22	312644	2.402985	0.320534
chr22	315138	2.640337	0.327119
chr22	316558	2.641549	0.330870
chr22	317376	11.363081	0.340165
chr22	319176	11.385000	0.360658
chr22	319446	6.507407	0.362415
chr22	322183	4.002192	0.373369
chr22	322522	4.073746	0.374750
chr22	327641	4.407306	0.397311
chr22	327829	4.409574	0.398140
chr22	330655	4.721515	0.411483
chr22	331506	5.898942	0.416503
chr22	331827	8.728972	0.419305
chr22	332469	9.166667	0.425190
chr22	332483	9.214286	0.425319
chr22	332528	9.244444	0.425735
chr22	332961	9.332564	0.429776
chr22	333739	9.332905	0.437037
chr22	333758	9.368421	0.437215
chr22	334742	9.366870	0.446432
chr22	334758	9.437500	0.446583
chr22	334994	9.436441	0.448810
chr22	335099	9.457143	0.449803
chr22	335266	9.359281	0.451366
chr22	335316	9.040000	0.451818
chr22	335363	8.595745	0.452222
chr22	337468	8.186698	0.469455
chr22	337502	8.176471	0.469733
chr22	337543	8.195122	0.470069
chr22	337601	6.706897	0.470458
chr22	338113	5.279297	0.473161
chr22	338132	3.631579	0.473230
chr22	338155	2.304348	0.473283
chr22	338297	1.950704	0.473560
chr22	339337	1.449038	0.475067
chr22	339386	2.591837	0.475194
chr22	339519	3.827068	0.475703
chr22	339594	6.093333	0.476160
chr22	339727	7.270677	0.477127
chr22	339756	6.413793	0.477313
chr22	339994	4.109244	0.478291
chr22	340373	2.029024	0.479060
chr22	340507	1.425373	0.479251
chr22	340963	1.041667	0.479726
chr22	340992	1.000000	0.479755
chr22	341085	0.989247	0.479847
chr22	341466	0.976378	0.480219
chr22	342424	0.968685	0.481147
chr22	342971	2.129799	0.482312
chr22	343238	2.142322	0.482884
chr22	343982	2.126344	0.484466
chr22	344007	1.760000	0.484510
chr22	344459	1.500000	0.485188
chr22	345142	0.329429	0.485413
chr22	346821	0.325789	0.485960
chr22	347808	0.642351	0.486594
chr22	348265	0.643326	0.486888
chr22	348598	1.009009	0.487224
chr22	348694	2.781250	0.487491
chr22	348699	2.800000	0.487505
chr22	348764	2.800000	0.487687
chr22	349426	2.790030	0.489534
chr22	349989	83.868561	0.536752
chr22	351004	83.866995	0.621877
chr22	351114	83.863636	0.631102
chr22	351460	1.682081	0.631684
chr22	352074	1.548860	0.632635
chr22	352577	1.534791	0.633407
chr22	353288	1.511955	0.634482
chr22	354165	1.509692	0.635806
chr22	354264	1.515152	0.635956
chr22	354439	1.514286	0.636221
chr22	354542	1.475728	0.636373
chr22	355410	1.414747	0.637601
chr22	355568	2.101266	0.637933
chr22	355944	2.773936	0.638976
chr22	356095	2.867550	0.639409
chr22	356337	2.892562	0.640109
chr22	356374	2.891892	0.640216
chr22	357247	2.890034	0.642739
chr22	357570	2.882353	0.643670
chr22	358187	2.878444	0.645446
chr22	358226	3.000000	0.645563
chr22	359079	3.133646	0.648236
chr22	359141	3.225806	0.648436
chr22	359196	3.254545	0.648615
chr22	359884	3.308140	0.650891
chr22	360161	3.350181	0.651819
chr22	360971	3.338272	0.654523
chr22	361437	3.399142	0.656107
chr22	361710	3.838828	0.657155
chr22	362116	3.788177	0.658693
chr22	362173	4.508772	0.658950
chr22	362199	4.653846	0.659071
chr22	362623	4.851415	0.661128
chr22	362857	4.747863	0.662239
chr22	363254	4.622166	0.664074
chr22	364326	4.573694	0.668977
chr22	364942	5.082792	0.672108
chr22	365758	8.207108	0.678805
chr22	365815	8.842105	0.679309
chr22	365930	12.565217	0.680754
chr22	366043	12.805310	0.682201
chr22	367725	12.822830	0.703769
chr22	368115	12.825641	0.708771
chr22	369148	12.825750	0.722020
chr22	369955	12.814126	0.732361
chr22	370338	12.798956	0.737263
chr22	370543	12.795122	0.739886
chr22	371281	12.295393	0.748960
chr22	371902	8.971014	0.754531
chr22	371976	9.189189	0.755211
chr22	372041	9.953846	0.755858
chr22	372837	11.902010	0.765332
chr22	373503	11.956456	0.773295
chr22	373670	11.934132	0.775288
chr22	374047	11.870027	0.779763
chr22	374109	9.822581	0.780372
chr22	374117	3.750000	0.780402
chr22	375021	2.474558	0.782639
chr22	375289	2.361940	0.783272
chr22	375841	2.273551	0.784527
chr22	376191	2.308571	0.785335
chr22	376543	2.363636	0.786167
chr22	376602	2.406780	0.786309
chr22	376626	2.416667	0.786367
chr22	377075	2.447661	0.787466
chr22	377384	2.446602	0.788222
chr22	377746	2.143646	0.788998
chr22	377818	1.694444	0.789120
chr22	379644	1.138554	0.791199
chr22	379749	1.123810	0.791317
chr22	379855	1.122642	0.791436
chr22	380325	1.117021	0.791961
chr22	380831	1.079051	0.792507
chr22	380945	1.017544	0.792623
chr22	381704	0.969697	0.793359
chr22	381832	0.976562	0.793484
chr22	381997	1.175758	0.793678
chr22	382088	1.208791	0.793788
chr22	382268	1.005556	0.793969
chr22	382565	0.845118	0.794220
chr22	383336	0.697795	0.794758
chr22	384797	0.572211	0.795594
chr22	385140	0.574344	0.795791
chr22	385735	0.588235	0.796141
chr22	385908	0.618497	0.796248
chr22	386203	0.654237	0.796441
chr22	387004	0.695381	0.796998
chr22	387120	0.715517	0.797081
chr22	387431	0.713826	0.797303
chr22	387700	0.717472	0.797496
chr22	387970	0.718519	0.797690
chr22	388110	0.721429	0.797791
chr22	389081	0.719876	0.798490
chr22	390334	0.721468	0.799394
chr22	390905	0.725044	0.799808
chr22	391376	0.728238	0.800151
chr22	392544	0.732021	0.801006
chr22	392795	0.741036	0.801192
chr22	393649	0.786885	0.801864
chr22	393753	0.942308	0.801962
chr22	394141	1.340206	0.802482
chr22	394366	2.240000	0.802986
chr22	394762	15.492424	0.809121
chr22	394946	15.500000	0.811973
chr22	395016	15.514286	0.813059
chr22	395394	15.513228	0.818923
chr22	395650	15.507813	0.822893
chr22	395661	15.545455	0.823064
chr22	395885	15.491071	0.826534
chr22	396461	14.593750	0.834940
chr22	397177	13.522346	0.844622
chr22	398147	0.983505	0.845576
chr22	398803	1.028963	0.846251
chr22	398917	1.175439	0.846385
chr22	398985	1.323529	0.846475
chr22	399163	1.280899	0.846703
chr22	399245	0.878049	0.846775
chr22	399345	0.930000	0.846868
chr22	400706	0.875092	0.848059
chr22	400739	0.757576	0.848084
chr22	400749	0.600000	0.848090
chr22	400766	0.588235	0.848100
chr22	401069	0.458746	0.848239
chr22	401573	0.327381	0.848404
chr22	401660	0.298851	0.848430
chr22	401869	0.272727	0.848487
chr22	401933	0.265625	0.848504
chr22	403777	0.253796	0.848972
chr22	403892	0.252174	0.849001
chr22	403968	0.250000	0.849020
chr22	404000	0.250000	0.849028
chr22	407041	0.252220	0.849795
chr22	407132	0.296703	0.849822
chr22	407958	0.341404	0.850104
chr22	410368	0.388797	0.851041
chr22	410938	0.389474	0.851263
chr22	412122	0.395270	0.851731
chr22	415105	0.395240	0.852910
chr22	415401	0.435811	0.853039
chr22	416138	0.492537	0.853402
chr22	417542	0.500000	0.854104
chr22	417559	1.529412	0.854130
chr22	418015	2.631579	0.855330
chr22	418106	2.472527	0.855555
chr22	418996	1.821348	0.857176
chr22	419599	1.787728	0.858254
chr22	420105	1.108696	0.858815
chr22	420806	0.696148	0.859303
chr22	421229	0.739953	0.859616
chr22	421278	1.040816	0.859667
chr22	421334	1.178571	0.859733
chr22	421412	1.217949	0.859828
chr22	421524	1.223214	0.859965
chr22	421579	1.218182	0.860032
chr22	421650	1.183099	0.860116
chr22	421654	1.000000	0.860120
chr22	422163	1.047151	0.860653
chr22	422504	0.914956	0.860965
chr22	422523	0.736842	0.860979
chr22	424115	0.631281	0.861984
chr22	424468	2.804533	0.862974
chr22	424745	2.891697	0.863775
chr22	424867	0.655738	0.863855
chr22	425492	0.596800	0.864228
chr22	426016	0.742366	0.864617
chr22	426312	0.868243	0.864874
chr22	426365	0.867925	0.864920
chr22	426372	1.428571	0.864930
chr22	426396	1.958333	0.864977
chr22	426525	1.914729	0.865224
chr22	427306	0.795134	0.865845
chr22	427407	0.188119	0.865864
chr22	427408	0.000000	0.865864
chr22	428535	0.165927	0.866051
chr22	428607	0.166667	0.866063
chr22	428941	0.167665	0.866119
chr22	429054	0.168142	0.866138
chr22	429355	0.166113	0.866188
chr22	429689	0.167665	0.866244
chr22	430486	0.169385	0.866379
chr22	430555	0.231884	0.866395
chr22	430781	0.278761	0.866458
chr22	430954	0.468208	0.866539
chr22	432080	0.883659	0.867534
chr22	432940	0.974419	0.868372
chr22	433431	0.963340	0.868845
chr22	433993	0.959075	0.869384
chr22	434403	1.231707	0.869889
chr22	434478	0.813333	0.869950
chr22	434815	0.575668	0.870144
chr22	434879	0.515625	0.870177
chr22	434925	0.478261	0.870199
chr22	434956	0.451613	0.870213
chr22	435206	0.436000	0.870322
chr22	435867	0.435703	0.870610
chr22	435951	0.452381	0.870648
chr22	437232	1.218579	0.872209
chr22	437286	1.222222	0.872275
chr22	437894	1.228618	0.873022
chr22	438460	1.243816	0.873726
chr22	438717	1.202335	0.874035
chr22	438979	1.194656	0.874348
chr22	439089	1.163636	0.874476
chr22	439795	1.144476	0.875284
chr22	442441	3.442933	0.884394
chr22	443052	1.369885	0.885231
chr22	443281	1.480349	0.885570
chr22	444687	1.371977	0.887499
chr22	445002	1.352381	0.887925
chr22	445039	1.270270	0.887972
chr22	445309	1.162963	0.888286
chr22	446773	1.163934	0.889990
chr22	447835	1.162900	0.891225
chr22	447999	1.146341	0.891413
chr22	448441	1.147059	0.891920
chr22	449576	1.140088	0.893214
chr22	450102	1.136882	0.893812
chr22	452104	1.135365	0.896085
chr22	452284	1.133333	0.896289
chr22	452640	1.132022	0.896692
chr22	452663	1.130435	0.896718
chr22	452951	1.118056	0.897040
chr22	453954	1.117647	0.898161
chr22	454728	1.118863	0.899027
chr22	454937	1.153110	0.899268
chr22	455128	1.366492	0.899529
chr22	455937	2.051916	0.901189
chr22	455988	4.392157	0.901413
chr22	456330	9.576023	0.904688
chr22	456539	12.803828	0.907364
chr22	456750	12.777251	0.910060
chr22	457853	12.780598	0.924157
chr22	457867	13.214286	0.924342
chr22	457934	13.626866	0.925255
chr22	458383	14.124722	0.931597
chr22	458505	13.622951	0.933259
chr22	458662	13.159236	0.935325
chr22	458761	8.303030	0.936147
chr22	459651	1.589888	0.937562
chr22	460565	3.035011	0.940336
chr22	460631	2.151515	0.940478
chr22	460730	1.818182	0.940658
chr22	461182	1.767699	0.941457
chr22	461227	0.777778	0.941492
chr22	461778	0.421053	0.941724
chr22	461872	0.595745	0.941780
chr22	462180	0.750000	0.942011
chr22	462289	0.825688	0.942101
chr22	463020	0.886457	0.942749
chr22	463146	1.071429	0.942884
chr22	463177	1.516129	0.942931
chr22	463418	2.157676	0.943451
chr22	463580	5.746914	0.944382
chr22	463606	6.000000	0.944538
chr22	464909	7.029163	0.953697
chr22	466283	7.008006	0.963326
chr22	466351	6.955882	0.963799
chr22	466810	6.906318	0.966969
chr22	467001	6.534031	0.968217
chr22	467468	6.049251	0.971042
chr22	467676	6.009615	0.972292
chr22	468320	4.336957	0.975085
chr22	469426	1.457505	0.976697
chr22	469797	1.264151	0.977166
chr22	469993	1.163265	0.977394
chr22	470944	1.157729	0.978495
chr22	471773	0.975875	0.979304
chr22	471809	0.916667	0.979337
chr22	473288	0.898580	0.980666
chr22	475155	0.884842	0.982318
chr22	475172	0.882353	0.982333
chr22	475530	0.854749	0.982639
chr22	475761	0.835498	0.982832
chr22	475796	0.828571	0.982861
chr22	476477	0.812041	0.983414
chr22	476643	0.789157	0.983545
chr22	478440	0.764051	0.984918
chr22	478887	0.769575	0.985262
chr22	479568	0.767988	0.985785
chr22	479816	0.778226	0.985978
chr22	479891	0.800000	0.986038
chr22	479913	0.772727	0.986055
chr22	480875	0.812890	0.986837
chr22	482029	0.793761	0.987753
chr22	482032	0.666667	0.987755
chr22	483537	0.762791	0.988903
chr22	483682	0.751724	0.989012
chr22	485410	0.734375	0.990281
chr22	485968	0.793907	0.990724
chr22	486343	0.962667	0.991085
chr22	486602	1.000000	0.991344
chr22	486678	1.039474	0.991423
chr22	486757	1.088608	0.991509
chr22	487281	1.141221	0.992107
chr22	487395	1.184211	0.992242
chr22	488940	1.216828	0.994122
chr22	489242	1.225166	0.994492
chr22	489385	1.223776	0.994667
chr22	490268	1.221971	0.995746
chr22	490324	1.214286	0.995814
chr22	491967	1.207547	0.997798
chr22	492315	10.652299	1.001505
chr22	492874	13.565295	1.009088
chr22	497729	20.936766	1.110736
chr22	503177	10.849670	1.169845
chr22	503381	7.642157	1.171404
chr22	505004	7.331485	1.183303
chr22	505472	6.803419	1.186487
chr22	511960	3.526356	1.209366
chr22	513861	2.886376	1.214853
chr22	516584	2.838414	1.222582
chr22	516798	2.836449	1.223189
chr22	518222	2.834972	1.227226
chr22	523832	2.799822	1.242933
chr22	523934	2.803922	1.243219
chr22	524184	2.800000	1.243919
chr22	525667	3.012812	1.248387
chr22	525734	2.850746	1.248578
chr22	526458	2.881215	1.250664
chr22	526599	2.907801	1.251074
chr22	527087	2.905738	1.252492
chr22	527110	1.913043	1.252536
chr22	527473	1.484848	1.253075
chr22	528165	1.469653	1.254092
chr22	529676	1.424884	1.256245
chr22	530247	1.371278	1.257028
chr22	530318	1.366197	1.257125
chr22	530638	1.165625	1.257498
chr22	532488	0.951351	1.259258
chr22	532708	0.954545	1.259468
chr22	533191	0.925466	1.259915
chr22	533216	0.920000	1.259938
chr22	533368	0.921053	1.260078
chr22	533397	0.896552	1.260104
chr22	534341	0.902542	1.260956
chr22	535348	0.952334	1.261915
chr22	542433	1.160480	1.270137
chr22	544118	2.608309	1.274532
chr22	544739	4.747182	1.277480
chr22	547239	9.440400	1.301081
chr22	549319	16.909135	1.336252
chr22	551688	13.528071	1.368300
chr22	551899	5.431280	1.369446
chr22	552255	4.219101	1.370948
chr22	553456	1.497918	1.372747
chr22	553718	1.248092	1.373074
chr22	555074	1.110619	1.374580
chr22	555760	1.126822	1.375353
chr22	557087	1.378297	1.377182
chr22	557564	2.591195	1.378418
chr22	563815	5.254359	1.411263
chr22	565414	7.959975	1.423991
chr22	565760	7.968208	1.426748
chr22	566183	6.794326	1.429622
chr22	566242	6.169492	1.429986
chr22	566272	3.200000	1.430082
chr22	566368	2.145833	1.430288
chr22	566905	1.363128	1.431020
chr22	567127	0.720721	1.431180
chr22	567260	0.639098	1.431265
chr22	568040	0.583333	1.431720
chr22	568118	0.602564	1.431767
chr22	568868	0.629333	1.432239
chr22	569517	0.793529	1.432754
chr22	570002	0.828866	1.433156
chr22	570233	0.852814	1.433353
chr22	570500	0.887640	1.433590
chr22	570754	1.051181	1.433857
chr22	570814	1.050000	1.433920
chr22	570864	1.460000	1.433993
chr22	570939	1.720000	1.434122
chr22	573765	1.633404	1.438738
chr22	578218	1.507748	1.445452
chr22	579716	1.512016	1.447717
chr22	581446	5.563584	1.457342
chr22	582838	2.494253	1.460814
chr22	585386	1.177394	1.463814
chr22	587290	1.051996	1.465817
chr22	590003	0.948397	1.468390
chr22	592616	0.988136	1.470972
chr22	594262	0.984204	1.472592
chr22	596742	5.693952	1.486713
chr22	597751	5.682854	1.492447
chr22	597950	4.050251	1.493253
chr22	598416	1.645923	1.494020
chr22	602081	1.390996	1.499118
chr22	603438	1.176861	1.500715
chr22	603600	1.043210	1.500884
chr22	603871	0.940959	1.501139
chr22	604818	0.861668	1.501955
chr22	605312	0.854251	1.502377
chr22	605530	0.853211	1.502563
chr22	606115	0.849573	1.503060
chr22	606495	0.855263	1.503385
chr22	608018	0.853578	1.504685
chr22	608179	0.894410	1.504829
chr22	608312	1.015038	1.504964
chr22	608342	27.900000	1.505801
chr22	608468	27.960317	1.509324
chr22	608480	36.416667	1.509761
chr22	609954	44.214383	1.574933
chr22	610157	44.211823	1.583908
chr22	610199	44.214286	1.585765
chr22	610273	44.216216	1.589037
chr22	610634	44.216066	1.604999
chr22	611061	44.213115	1.623878
chr22	611323	44.213740	1.635462
chr22	612454	44.214854	1.685469
chr22	612753	44.214047	1.698689
chr22	612819	44.212121	1.701607
chr22	613020	44.213930	1.710494
chr22	614708	44.214455	1.785128
chr22	615014	43.539216	1.798451
chr22	615394	27.378947	1.808855
chr22	615650	5.539062	1.810273
chr22	616072	4.682464	1.812249
chr22	616077	4.400000	1.812271
chr22	616195	4.033898	1.812747
chr22	616317	4.024590	1.813238
chr22	616348	4.032258	1.813363
chr22	616653	4.019672	1.814589
chr22	616783	4.030769	1.815113
chr22	617110	4.030581	1.816431
chr22	617928	4.056235	1.819749
chr22	618124	4.056122	1.820544
chr22	618201	5.857143	1.820995
chr22	618741	10.274074	1.826543
chr22	619050	11.368932	1.830056
chr22	619154	15.740385	1.831693
chr22	620089	20.490909	1.850852
chr22	620709	20.722581	1.863700
chr22	621300	20.719120	1.875945
chr22	621808	20.700787	1.886461
chr22	622048	16.245833	1.890360
chr22	622494	16.091928	1.897537
chr22	623784	16.073643	1.918272
chr22	624631	16.066116	1.931880
chr22	624783	16.072368	1.934323
chr22	624824	16.073171	1.934982
chr22	625145	16.068536	1.940140
chr22	625820	16.075556	1.950991
chr22	627629	16.093422	1.980104
chr22	628487	17.791375	1.995369
chr22	628980	18.237323	2.004360
chr22	629035	21.127273	2.005522
chr22	629239	22.200980	2.010051
chr22	631211	22.197769	2.053825
chr22	631314	5.776699	2.054420
chr22	631332	5.722222	2.054523
chr22	631348	5.687500	2.054614
chr22	631398	5.640000	2.054896
chr22	631435	5.648649	2.055105
chr22	631526	4.307692	2.055497
chr22	631994	4.262821	2.057492
chr22	632239	4.277551	2.058540
chr22	632651	4.296117	2.060310
chr22	634559	4.370021	2.068648
chr22	635288	4.290809	2.071776
chr22	635432	11.000000	2.073360
chr22	637424	10.995984	2.095264
chr22	637631	11.082126	2.097558
chr22	641024	12.065724	2.138497
chr22	644527	4.153868	2.153048
chr22	649311	3.988085	2.172127
chr22	650968	4.114665	2.178945
chr22	659236	4.268747	2.214239
chr22	660383	2.846556	2.217504
chr22	661005	1.493569	2.218433
chr22	661647	0.216511	2.218572
chr22	662103	0.149123	2.218640
chr22	662135	0.156250	2.218645
chr22	662247	0.142857	2.218661
chr22	662370	0.138211	2.218678
chr22	662463	0.139785	2.218691
chr22	666371	0.130502	2.219201
chr22	668258	0.487016	2.220120
chr22	668300	0.333333	2.220134
chr22	668376	0.197368	2.220149
chr22	668650	0.142336	2.220188
chr22	670414	0.158163	2.220467
chr22	672363	0.223191	2.220902
chr22	673016	0.220521	2.221046
chr22	673995	0.224719	2.221266
chr22	674320	0.230769	2.221341
chr22	674440	0.275000	2.221374
chr22	675000	0.316071	2.221551
chr22	675307	1.094463	2.221887
chr22	675774	1.432548	2.222556
chr22	675787	1.076923	2.222570
chr22	675903	1.594828	2.222755
chr22	676008	2.914286	2.223061
chr22	676228	2.740909	2.223664
chr22	676331	0.796117	2.223746
chr22	676473	0.788732	2.223858
chr22	676490	0.823529	2.223872
chr22	676789	0.772575	2.224103
chr22	677214	0.774118	2.224432
chr22	677240	0.461538	2.224444
chr22	677302	0.306452	2.224463
chr22	677621	0.241379	2.224540
chr22	677931	0.241935	2.224615
chr22	678847	0.240175	2.224835
chr22	678947	0.240000	2.224859
chr22	679637	0.249275	2.225031
chr22	680380	0.512786	2.225412
chr22	680520	0.450000	2.225475
chr22	680838	0.386792	2.225598
chr22	681724	0.293454	2.225858
chr22	681962	0.289916	2.225927
chr22	682399	0.292906	2.226055
chr22	683116	0.298466	2.226269
chr22	683607	0.397149	2.226464
chr22	683861	1.157480	2.226758
chr22	684766	1.770166	2.228360
chr22	685447	0.414097	2.228642
chr22	685574	0.417323	2.228695
chr22	686370	0.408291	2.229020
chr22	686662	0.424658	2.229144
chr22	686782	0.475000	2.229201
chr22	687119	0.519288	2.229376
chr22	687270	0.662252	2.229476
chr22	690810	0.918644	2.232728
chr22	691266	0.309211	2.232869
chr22	692282	0.227362	2.233100
chr22	692808	0.562738	2.233396
chr22	693269	0.620390	2.233682
chr22	693285	1.187500	2.233701
chr22	693767	1.813278	2.234575
chr22	693828	0.426230	2.234601
chr22	693977	0.302013	2.234646
chr22	694206	0.288210	2.234712
chr22	694538	0.286145	2.234807
chr22	694678	0.285714	2.234847
chr22	695030	0.284091	2.234947
chr22	695367	0.281899	2.235042
chr22	696533	0.276158	2.235364
chr22	696645	0.303571	2.235398
chr22	696703	0.379310	2.235420
chr22	696748	0.533333	2.235444
chr22	698312	0.720588	2.236571
