Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	369428	10.925150	1.148253
chr22	370150	10.912742	1.156132
chr22	371819	5.835231	1.165871
chr22	372358	5.833024	1.169015
chr22	373836	5.830176	1.177632
chr22	376465	5.852035	1.193017
chr22	377226	6.289093	1.197803
chr22	377979	7.087649	1.203140
chr22	378242	7.106464	1.205009
chr22	380980	7.116508	1.224494
chr22	381191	5.189573	1.225589
chr22	382876	4.481899	1.233141
chr22	383720	4.407583	1.236861
chr22	384898	3.977080	1.241546
chr22	385052	2.980519	1.242005
chr22	389881	2.205011	1.252653
chr22	389984	2.009709	1.252860
chr22	391170	1.856661	1.255062
chr22	391564	1.525381	1.255663
chr22	397928	1.522784	1.265354
chr22	398278	4.880000	1.267062
chr22	400883	5.810365	1.282198
chr22	402171	6.009317	1.289938
chr22	402440	6.386617	1.291656
chr22	402710	6.388889	1.293381
chr22	402921	6.322275	1.294715
chr22	403653	6.259563	1.299297
chr22	403661	4.875000	1.299336
chr22	404407	4.841823	1.302948
chr22	404916	4.791749	1.305387
chr22	404947	3.290323	1.305489
chr22	406058	1.925293	1.307628
chr22	406559	0.760479	1.308009
chr22	406734	0.754286	1.308141
chr22	406876	0.753521	1.308248
chr22	407059	0.748634	1.308385
chr22	407108	0.755102	1.308422
chr22	408253	0.746725	1.309277
chr22	408651	0.746231	1.309574
chr22	409802	0.747176	1.310434
chr22	411242	0.778472	1.311555
chr22	411773	0.777778	1.311968
chr22	411842	0.782609	1.312022
chr22	413813	0.777778	1.313555
chr22	414133	0.746875	1.313794
chr22	415205	0.750933	1.314599
chr22	415487	0.751773	1.314811
chr22	416956	0.752212	1.315916
chr22	418267	0.752860	1.316903
chr22	418334	0.746269	1.316953
chr22	419067	0.753070	1.317505
chr22	420098	0.754607	1.318283
chr22	421511	0.755131	1.319350
chr22	422031	0.757692	1.319744
chr22	422348	0.753943	1.319983
chr22	424198	0.741622	1.321355
chr22	424852	0.296636	1.321549
chr22	425097	0.289796	1.321620
chr22	425434	0.243323	1.321702
chr22	425606	0.220930	1.321740
chr22	425865	0.204633	1.321793
chr22	426057	0.197917	1.321831
chr22	426349	0.198630	1.321889
chr22	426433	0.202381	1.321906
chr22	431502	0.173012	1.322783
chr22	431732	0.178261	1.322824
chr22	435258	0.190584	1.323496
chr22	440443	0.196721	1.324516
chr22	443798	6.955291	1.347851
chr22	443896	6.959184	1.348533
chr22	446852	6.723951	1.368409
chr22	450704	0.635514	1.370857
chr22	452757	0.713103	1.372321
chr22	453461	0.860795	1.372927
chr22	453919	0.925764	1.373351
chr22	456249	0.930043	1.375518
chr22	456452	0.896552	1.375700
chr22	456473	0.761905	1.375716
chr22	456717	0.729508	1.375894
chr22	459403	0.597171	1.377498
chr22	459720	0.536278	1.377668
chr22	459820	0.500000	1.377718
chr22	461819	0.458229	1.378634
chr22	462008	0.460317	1.378721
chr22	463995	0.459487	1.379634
chr22	464877	0.361678	1.379953
chr22	467358	0.360742	1.380848
chr22	468001	0.197512	1.380975
chr22	472727	0.096911	1.381433
chr22	473902	0.094468	1.381544
chr22	476285	0.092740	1.381765
chr22	479319	0.092287	1.382045
chr22	480851	0.091384	1.382185
chr22	482114	0.091845	1.382301
chr22	484038	0.091476	1.382477
chr22	485180	0.091944	1.382582
chr22	485321	0.092199	1.382595
chr22	488065	0.092201	1.382848
chr22	488433	0.105978	1.382887
chr22	489009	0.130208	1.382962
chr22	492830	0.185815	1.383672
chr22	493174	0.247093	1.383757
chr22	493205	0.290323	1.383766
chr22	493243	0.289474	1.383777
chr22	493507	0.314394	1.383860
chr22	493598	0.307692	1.383888
chr22	493609	0.363636	1.383892
chr22	494654	0.315789	1.384222
chr22	495739	0.372350	1.384626
chr22	495744	0.400000	1.384628
chr22	496342	0.336120	1.384829
chr22	502620	0.205320	1.386118
chr22	502937	0.318612	1.386219
chr22	503119	0.434066	1.386298
chr22	503654	0.435514	1.386531
chr22	505492	0.435256	1.387331
chr22	505777	0.435088	1.387455
chr22	511356	0.434845	1.389881
chr22	511897	0.384473	1.390089
chr22	512067	0.358824	1.390150
chr22	514459	0.319816	1.390915
chr22	515927	0.291553	1.391343
chr22	517161	0.291734	1.391703
chr22	517857	0.290230	1.391905
chr22	517887	0.300000	1.391914
chr22	518752	0.289017	1.392164
chr22	519697	0.289947	1.392438
chr22	520471	0.289406	1.392662
chr22	524923	0.288859	1.393948
chr22	525493	0.291228	1.394114
chr22	526670	0.290569	1.394456
chr22	527495	0.340606	1.394737
chr22	527967	0.461864	1.394955
chr22	529615	0.466626	1.395724
chr22	530458	0.472123	1.396122
chr22	530812	0.644068	1.396350
chr22	530966	0.818182	1.396476
chr22	531074	0.888889	1.396572
chr22	531174	0.910000	1.396663
chr22	531221	0.936170	1.396707
chr22	531978	0.941876	1.397420
chr22	532059	0.950617	1.397497
chr22	532103	0.977273	1.397540
chr22	532332	0.986900	1.397766
chr22	532925	0.978078	1.398346
chr22	535497	1.858087	1.403125
chr22	536145	19.720679	1.415904
chr22	536429	19.693662	1.421497
chr22	536536	13.887850	1.422983
chr22	536785	12.116466	1.426000
chr22	536859	9.851351	1.426729
chr22	537678	1.785104	1.428191
chr22	537820	1.795775	1.428446
chr22	538203	1.793734	1.429133
chr22	538235	1.812500	1.429191
chr22	538247	1.833333	1.429213
chr22	538829	1.821306	1.430273
chr22	539018	1.846561	1.430622
chr22	539123	1.923810	1.430824
chr22	539650	1.962049	1.431858
chr22	539833	1.240437	1.432085
chr22	541262	0.356193	1.432594
chr22	541335	0.315068	1.432617
chr22	541589	0.291339	1.432691
chr22	542382	0.283733	1.432916
chr22	542700	0.509434	1.433078
chr22	543301	1.138103	1.433762
chr22	543616	1.380952	1.434197
chr22	543744	1.437500	1.434381
chr22	544015	1.763838	1.434859
chr22	544363	2.836207	1.435846
chr22	544417	4.685185	1.436099
chr22	545600	13.224007	1.451743
chr22	545905	13.311475	1.455803
chr22	547749	13.313449	1.480353
chr22	547972	22.134529	1.485289
chr22	548187	22.139535	1.490049
chr22	549364	22.598980	1.516648
chr22	549598	22.581197	1.521932
chr22	549907	22.579288	1.528909
chr22	549918	22.181818	1.529153
chr22	550600	21.825513	1.544038
chr22	550788	18.026596	1.547427
chr22	550815	16.185185	1.547864
chr22	550818	14.666667	1.547908
chr22	551921	13.089755	1.562346
chr22	553233	13.072409	1.579497
chr22	553269	13.055556	1.579967
chr22	553928	13.028832	1.588553
chr22	554791	13.025492	1.599794
chr22	554965	13.028736	1.602061
chr22	555352	13.033592	1.607105
chr22	556094	2.514825	1.608971
chr22	556783	2.519594	1.610707
chr22	557344	2.547237	1.612136
chr22	561125	2.548268	1.621771
chr22	561189	10.265625	1.622428
chr22	561916	15.016506	1.633345
chr22	562314	15.067839	1.639342
chr22	562445	15.068702	1.641316
chr22	563033	15.069728	1.650177
chr22	564110	9.161560	1.660044
chr22	564373	6.954373	1.661873
chr22	564893	6.884615	1.665453
chr22	565077	5.467391	1.666459
chr22	565308	4.164502	1.667421
chr22	565985	3.480059	1.669777
chr22	567652	6.127175	1.679991
chr22	568696	6.127395	1.686388
chr22	569374	6.119469	1.690537
chr22	572872	6.119497	1.711943
chr22	573036	6.603659	1.713026
chr22	573741	9.782979	1.719923
chr22	574282	9.787431	1.725218
chr22	574308	9.769231	1.725472
chr22	579657	9.878669	1.778313
chr22	581248	11.734129	1.796982
chr22	583587	12.633604	1.826532
chr22	584863	12.622257	1.842638
chr22	586955	12.620459	1.869040
chr22	587162	12.599034	1.871648
chr22	588089	12.538296	1.883271
chr22	591694	5.123994	1.901743
chr22	591769	4.693333	1.902095
chr22	591820	4.843137	1.902342
chr22	592038	4.399083	1.903301
chr22	592470	4.990741	1.905457
chr22	592525	5.345455	1.905751
chr22	592801	5.590580	1.907294
chr22	593076	5.629091	1.908842
chr22	593308	5.629310	1.910148
chr22	593318	5.700000	1.910205
chr22	593488	5.635294	1.911163
chr22	593620	5.590909	1.911901
chr22	593641	5.000000	1.912006
chr22	593661	4.300000	1.912092
chr22	594780	3.168901	1.915638
chr22	595425	2.800000	1.917444
chr22	595579	2.246753	1.917790
chr22	595689	2.218182	1.918034
chr22	597738	1.879453	1.921885
chr22	598195	1.835886	1.922724
chr22	598278	1.457831	1.922845
chr22	598427	1.161074	1.923018
chr22	598536	0.972477	1.923124
chr22	598694	0.860759	1.923260
chr22	600847	0.661867	1.924685
chr22	600964	0.837607	1.924783
chr22	601035	1.183099	1.924867
chr22	602622	1.488343	1.927229
chr22	602878	3.058594	1.928012
chr22	603024	3.246575	1.928486
chr22	603206	3.917582	1.929199
chr22	603620	4.120773	1.930905
chr22	604435	4.067485	1.934220
chr22	605889	3.970426	1.939993
chr22	605937	3.958333	1.940183
chr22	606714	3.918919	1.943228
chr22	609367	3.640030	1.952885
chr22	610661	3.571097	1.957506
chr22	611929	3.070189	1.961399
chr22	617808	2.674775	1.977124
chr22	619392	2.824495	1.981598
chr22	619611	3.452055	1.982354
chr22	621825	4.241644	1.991745
chr22	625267	4.321615	2.006620
chr22	626081	4.464373	2.010254
chr22	626164	4.566265	2.010633
chr22	626289	4.640000	2.011213
chr22	626502	4.647887	2.012203
chr22	627307	4.645963	2.015943
chr22	628890	4.647505	2.023300
chr22	630970	4.655769	2.032984
chr22	631117	4.666667	2.033670
chr22	631425	4.691558	2.035115
chr22	632959	4.692308	2.042313
chr22	635054	4.922673	2.052626
chr22	638921	4.922679	2.071662
chr22	641893	4.955585	2.086390
chr22	643677	5.572309	2.096331
chr22	643919	5.652893	2.097699
chr22	645853	5.730610	2.108782
chr22	648989	8.983099	2.136953
chr22	652097	8.982625	2.164871
chr22	658378	3.416176	2.186328
chr22	659286	3.030837	2.189080
chr22	659441	2.658065	2.189492
chr22	659483	2.404762	2.189593
chr22	660793	2.188550	2.192460
chr22	661269	2.207983	2.193511
chr22	665551	2.286548	2.203302
chr22	665733	11.653846	2.205423
chr22	667979	14.670080	2.238372
chr22	668361	14.725131	2.243997
chr22	668559	19.464646	2.247851
chr22	668646	21.195402	2.249695
chr22	668663	21.235294	2.250056
chr22	669301	21.202194	2.263583
chr22	669942	21.184087	2.277162
chr22	670581	1.311424	2.278000
chr22	670749	1.255952	2.278211
chr22	671575	1.248184	2.279242
chr22	671591	1.312500	2.279263
chr22	672063	1.381356	2.279915
chr22	672567	1.386905	2.280614
chr22	673424	1.284714	2.281715
chr22	673542	1.262712	2.281864
chr22	673640	1.265306	2.281988
chr22	673709	1.246377	2.282074
chr22	673748	1.230769	2.282122
chr22	674962	1.226524	2.283611
chr22	674986	1.208333	2.283640
chr22	675322	1.226190	2.284052
chr22	675903	1.223752	2.284763
chr22	676442	1.241187	2.285432
chr22	676575	1.308271	2.285606
chr22	676762	1.310160	2.285851
chr22	678578	1.309471	2.288229
chr22	678767	1.328042	2.288480
chr22	679271	1.339286	2.289155
chr22	680165	1.334452	2.290348
chr22	681164	1.331331	2.291678
chr22	682306	1.340630	2.293209
chr22	683616	1.355725	2.294985
chr22	687772	20.666506	2.380875
chr22	691592	20.957330	2.460932
chr22	691821	20.956332	2.465731
chr22	692275	20.953744	2.475244
chr22	694061	20.955207	2.512670
chr22	694894	20.926771	2.530102
chr22	695019	20.896000	2.532714
chr22	695060	20.878049	2.533570
chr22	695670	20.888525	2.546312
chr22	698987	20.881821	2.615577
chr22	701011	8.511364	2.632804
chr22	701631	2.562903	2.634393
chr22	702570	2.538871	2.636777
chr22	702921	2.566952	2.637678
chr22	704353	2.587291	2.641383
chr22	704452	2.515152	2.641632
chr22	704699	2.429150	2.642232
chr22	706759	2.314563	2.647000
chr22	706793	5.294118	2.647180
chr22	707880	8.219871	2.656115
chr22	709689	12.791045	2.679254
chr22	709972	7.551237	2.681391
chr22	713177	0.911388	2.684312
chr22	713430	0.928854	2.684547
chr22	713786	0.955056	2.684887
chr22	714462	0.982249	2.685551
chr22	714547	1.058824	2.685641
chr22	714571	1.166667	2.685669
chr22	714613	1.119048	2.685716
chr22	715175	1.206406	2.686394
chr22	716233	1.273157	2.687741
chr22	717428	1.688703	2.689759
chr22	717522	1.723404	2.689921
chr22	717569	1.723404	2.690002
chr22	717649	1.737500	2.690141
chr22	717818	1.757396	2.690438
chr22	717920	1.892157	2.690631
chr22	718703	1.988506	2.692188
chr22	719383	2.026471	2.693566
chr22	719740	2.148459	2.694333
chr22	719854	2.175439	2.694581
chr22	720604	2.193333	2.696226
chr22	720682	2.230769	2.696400
chr22	720916	2.196581	2.696914
chr22	721928	2.195652	2.699136
chr22	722980	2.737643	2.702016
chr22	723060	2.750000	2.702236
chr22	723155	2.410526	2.702465
chr22	723278	2.170732	2.702732
chr22	724578	2.200769	2.705593
chr22	725200	2.300643	2.707024
chr22	725460	2.376923	2.707642
chr22	726286	2.378935	2.709607
chr22	727331	2.565550	2.712288
chr22	728308	2.563971	2.714793
chr22	729990	2.669441	2.719283
chr22	730289	0.946488	2.719566
chr22	731211	0.945770	2.720438
chr22	731474	0.946768	2.720687
chr22	731744	0.948148	2.720943
chr22	731927	0.945355	2.721116
chr22	732764	0.948626	2.721910
chr22	733838	0.947858	2.722928
chr22	733963	1.640000	2.723133
chr22	733994	2.870968	2.723222
chr22	734646	4.046012	2.725860
chr22	735538	1.096413	2.726838
chr22	735858	1.093750	2.727188
chr22	736225	1.095368	2.727590
chr22	736393	1.095238	2.727774
chr22	737032	1.090767	2.728471
chr22	737052	1.100000	2.728493
chr22	737182	1.153846	2.728643
chr22	737859	1.199409	2.729455
chr22	739206	1.198961	2.731070
chr22	739308	1.362745	2.731209
chr22	739452	9.597222	2.732591
chr22	739518	9.772727	2.733236
chr22	740833	9.781749	2.746099
chr22	740919	40.627907	2.749593
chr22	741847	48.168103	2.794293
chr22	742252	48.167901	2.813801
chr22	742631	48.168865	2.832057
chr22	742716	48.152941	2.836150
chr22	742831	43.652174	2.841170
chr22	742931	20.880000	2.843258
